task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
REAL-LONG-01,T00,0,48,P01-S01,P37-S12,,18,0,6,24,260,2,telemetry
REAL-LONG-02,T00,0,48,P05-S04,P42-S16,,22,0,8,32,350,3,background
REAL-LONG-03,T00,0,48,P09-S07,P47-S20,,26,0,10,40,440,4,background
REAL-LONG-04,T00,0,48,P13-S10,P52-S02,,30,0,6,48,530,2,telemetry
REAL-LONG-05,T00,0,48,P17-S13,P57-S06,,18,0,8,56,620,3,background
REAL-LONG-06,T00,0,48,P21-S16,P57-S10,,22,0,10,24,710,4,background
REAL-LONG-07,T00,0,48,P25-S19,P62-S14,,26,0,6,32,260,2,telemetry
REAL-LONG-08,T00,0,48,P29-S22,P67-S18,,30,0,8,40,350,3,background
REAL-LONG-09,T00,0,48,P33-S03,P72-S22,,18,0,10,48,440,4,background
REAL-LONG-10,T00,0,48,P37-S06,P05-S04,,22,0,6,56,530,2,telemetry
REAL-LONG-11,T00,0,48,P41-S09,P05-S08,,26,0,8,24,620,3,background
REAL-LONG-12,T00,0,48,P45-S12,P10-S12,,30,0,10,32,710,4,background
REAL-LONG-13,T00,0,48,P49-S15,P15-S16,,18,0,6,40,260,2,telemetry
REAL-LONG-14,T00,0,48,P53-S18,P20-S20,,22,0,8,48,350,3,background
REAL-LONG-15,T00,0,48,P57-S21,P25-S02,,26,0,10,56,440,4,background
REAL-LONG-16,T00,0,48,P61-S02,P25-S06,,30,0,6,24,530,2,telemetry
REAL-LONG-17,T00,0,48,P65-S05,P30-S10,,18,0,8,32,620,3,background
REAL-LONG-18,T00,0,48,P69-S08,P35-S14,,22,0,10,40,710,4,background
REAL-PER-00-1,T00,0,3,P01-S01,P10-S08,,10,0,3,12,180,1,telemetry
REAL-PER-00-2,T00,0,3,P12-S03,P24-S11,,12,0,4,16,250,1,telemetry
REAL-PER-00-3,T00,0,3,P23-S05,P38-S14,,14,0,5,20,320,3,telemetry
REAL-PER-00-4,T00,0,3,P34-S07,P52-S17,,16,0,6,24,390,3,telemetry
