task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
REAL-LONG-01,T00,0,48,P01-S01,P24-S08,,18,0,6,24,260,2,telemetry
REAL-LONG-02,T00,0,48,P03-S04,P27-S12,,22,0,8,32,350,3,background
REAL-LONG-03,T00,0,48,P06-S07,P31-S02,,26,0,10,40,440,4,background
REAL-LONG-04,T00,0,48,P08-S10,P34-S06,,30,0,6,48,530,2,telemetry
REAL-LONG-05,T00,0,48,P11-S13,P38-S10,,18,0,8,56,620,3,background
REAL-LONG-06,T00,0,48,P14-S02,P37-S14,,22,0,10,24,710,4,background
REAL-LONG-07,T00,0,48,P16-S05,P40-S04,,26,0,6,32,260,2,telemetry
REAL-LONG-08,T00,0,48,P19-S08,P44-S08,,30,0,8,40,350,3,background
REAL-LONG-09,T00,0,48,P21-S11,P47-S12,,18,0,10,48,440,4,background
REAL-LONG-10,T00,0,48,P24-S14,P04-S02,,22,0,6,56,530,2,telemetry
REAL-LONG-11,T00,0,48,P27-S03,P03-S06,,26,0,8,24,620,3,background
REAL-LONG-12,T00,0,48,P29-S06,P06-S10,,30,0,10,32,710,4,background
REAL-LONG-13,T00,0,48,P32-S09,P10-S14,,18,0,6,40,260,2,telemetry
REAL-LONG-14,T00,0,48,P34-S12,P13-S04,,22,0,8,48,350,3,background
REAL-LONG-15,T00,0,48,P37-S01,P17-S08,,26,0,10,56,440,4,background
REAL-LONG-16,T00,0,48,P40-S04,P16-S12,,30,0,6,24,530,2,telemetry
REAL-LONG-17,T00,0,48,P42-S07,P19-S02,,18,0,8,32,620,3,background
REAL-LONG-18,T00,0,48,P45-S10,P23-S06,,22,0,10,40,710,4,background
REAL-PER-00-1,T00,0,3,P01-S01,P10-S08,,10,0,3,12,180,1,telemetry
REAL-PER-00-2,T00,0,3,P12-S03,P24-S11,,12,0,4,16,250,1,telemetry
REAL-PER-00-3,T00,0,3,P23-S05,P38-S14,,14,0,5,20,320,3,telemetry
REAL-PER-00-4,T00,0,3,P34-S07,P05-S03,,16,0,6,24,390,3,telemetry
REAL-PER-00-5,T00,0,3,P45-S09,P19-S06,,18,0,7,28,460,3,telemetry
REAL-PER-00-6,T00,0,3,P09-S11,P33-S09,,20,0,8,32,530,3,telemetry
REAL-PER-04-1,T04,4,3,P05-S02,P14-S09,,10,0,3,12,180,1,telemetry
REAL-PER-04-2,T04,4,3,P16-S04,P28-S12,,12,0,4,16,250,1,telemetry
REAL-PER-04-3,T04,4,3,P27-S06,P42-S01,,14,0,5,20,320,3,telemetry
REAL-PER-04-4,T04,4,3,P38-S08,P09-S04,,16,0,6,24,390,3,telemetry
REAL-PER-04-5,T04,4,3,P02-S10,P23-S07,,18,0,7,28,460,3,telemetry
REAL-PER-04-6,T04,4,3,P13-S12,P37-S10,,20,0,8,32,530,3,telemetry
REAL-PER-08-1,T08,8,3,P09-S03,P18-S10,,10,0,3,12,180,1,telemetry
REAL-PER-08-2,T08,8,3,P20-S05,P32-S13,,12,0,4,16,250,1,telemetry
REAL-PER-08-3,T08,8,3,P31-S07,P46-S02,,14,0,5,20,320,3,telemetry
REAL-PER-08-4,T08,8,3,P42-S09,P13-S05,,16,0,6,24,390,3,telemetry
REAL-PER-08-5,T08,8,3,P06-S11,P27-S08,,18,0,7,28,460,3,telemetry
REAL-PER-08-6,T08,8,3,P17-S13,P41-S11,,20,0,8,32,530,3,telemetry
REAL-PER-12-1,T12,12,3,P13-S04,P22-S11,,10,0,3,12,180,1,telemetry
REAL-PER-12-2,T12,12,3,P24-S06,P36-S14,,12,0,4,16,250,1,telemetry
REAL-PER-12-3,T12,12,3,P35-S08,P03-S03,,14,0,5,20,320,3,telemetry
