task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
UP-001,T00,0,6,P01-S01,P05-S05,,40,4,2.5,6,260,2,mixed
UP-002,T01,1,5,P02-S03,P06-S07,,18,0,0.8,1.5,180,1,telemetry
UP-003,T03,3,4,P03-S05,P07-S01,,32,2,1.6,4,420,3,routing
UP-004,T04,4,8,P08-S08,P04-S04,,24,0,1.2,2.5,320,2,downlink
UP-005,T06,6,2,P01-S04,P05-S08,,12,0,0.5,1,900,4,burst
UP-006,T06,6,2,P02-S05,P06-S01,,12,0,0.5,1,950,4,burst
UP-007,T08,8,10,,,P03-S02,64,8,4,12,0,2,compute
UP-008,T10,10,7,P04-S07,P08-S03,,20,1,1,2,240,2,background
UP-009,T12,12,8,P05-S02,P01-S06,,28,2,1.5,3,360,2,mixed
UP-010,T15,15,4,P06-S04,P02-S08,,16,0,0.7,1.5,200,1,telemetry
