task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
high-load-01,T00,0,8,P01-S01,P06-S05,,48,0,1.25,2.5,620,2,mixed
high-load-02,T01,1,8,P02-S04,P08-S02,,48,0,1.25,2.5,757,2,mixed
high-load-03,T02,2,8,P03-S07,P02-S07,,48,0,1.25,2.5,894,2,mixed
high-load-04,T03,3,8,P04-S02,P01-S04,,48,0,1.25,2.5,1031,2,mixed
high-load-05,T04,4,8,P05-S05,P03-S01,,48,0,1.25,2.5,1168,2,mixed
high-load-06,T05,5,8,P06-S08,P05-S06,,48,0,1.25,2.5,1305,2,mixed
high-load-07,T06,6,8,P07-S03,P04-S03,,48,0,1.25,2.5,1442,2,mixed
high-load-08,T07,7,8,P08-S06,P06-S08,,48,0,1.25,2.5,1579,2,mixed
high-load-09,T08,8,8,P01-S02,P08-S05,,48,0,1.25,2.5,736,2,mixed
high-load-10,T09,9,8,P02-S05,P07-S02,,48,0,1.25,2.5,873,2,mixed
high-load-11,T10,10,8,P03-S08,P01-S07,,48,0,1.25,2.5,1010,2,mixed
high-load-12,T11,11,8,P04-S03,P03-S04,,48,0,1.25,2.5,1147,2,mixed
high-load-13,T12,12,8,P05-S06,P02-S01,,48,0,1.25,2.5,1284,2,mixed
high-load-14,T13,13,8,P06-S01,P04-S06,,48,0,1.25,2.5,1421,2,mixed
high-load-15,T14,14,8,P07-S04,P06-S03,,48,0,1.25,2.5,1558,2,mixed
high-load-16,T15,15,8,P08-S07,P05-S08,,48,0,1.25,2.5,715,2,mixed
high-load-17,T16,16,8,P01-S03,P07-S05,,48,0,1.25,2.5,852,2,mixed
high-load-18,T17,17,8,P02-S06,P01-S02,,48,0,1.25,2.5,989,2,mixed
high-load-19,T18,18,8,P03-S01,P08-S07,,48,0,1.25,2.5,1126,2,mixed
high-load-20,T19,19,8,P04-S04,P02-S04,,48,0,1.25,2.5,1263,2,mixed
high-load-21,T20,20,8,P05-S07,P04-S01,,48,0,1.25,2.5,1400,2,mixed
high-load-22,T21,21,8,P06-S02,P03-S06,,48,0,1.25,2.5,1537,2,mixed
high-load-23,T22,22,8,P07-S05,P05-S03,,48,0,1.25,2.5,694,2,mixed
high-load-24,T23,23,8,P08-S08,P07-S08,,48,0,1.25,2.5,831,2,mixed
high-load-25,T00,0,8,P01-S04,P06-S05,,48,0,1.25,2.5,968,2,mixed
high-load-26,T01,1,8,P02-S07,P08-S02,,48,0,1.25,2.5,1105,2,mixed
high-load-27,T02,2,8,P03-S02,P02-S07,,48,0,1.25,2.5,1242,2,mixed
high-load-28,T03,3,8,P04-S05,P01-S04,,48,0,1.25,2.5,1379,2,mixed
high-load-29,T04,4,8,P05-S08,P03-S01,,48,0,1.25,2.5,1516,2,mixed
high-load-30,T05,5,8,P06-S03,P05-S06,,48,0,1.25,2.5,673,2,mixed
high-load-31,T06,6,8,P07-S06,P04-S03,,48,0,1.25,2.5,810,2,mixed
high-load-32,T07,7,8,P08-S01,P06-S08,,48,0,1.25,2.5,947,2,mixed
high-load-33,T08,8,8,P01-S05,P08-S05,,48,0,1.25,2.5,1084,2,mixed
high-load-34,T09,9,8,P02-S08,P07-S02,,48,0,1.25,2.5,1221,2,mixed
high-load-35,T10,10,8,P03-S03,P01-S07,,48,0,1.25,2.5,1358,2,mixed
high-load-36,T11,11,8,P04-S06,P03-S04,,48,0,1.25,2.5,1495,2,mixed
high-load-37,T12,12,8,P05-S01,P02-S01,,48,0,1.25,2.5,652,2,mixed
high-load-38,T13,13,8,P06-S04,P04-S06,,48,0,1.25,2.5,789,2,mixed
high-load-39,T14,14,8,P07-S07,P06-S03,,48,0,1.25,2.5,926,2,mixed
high-load-40,T15,15,8,P08-S02,P05-S08,,48,0,1.25,2.5,1063,2,mixed
high-load-41,T16,16,8,P01-S06,P07-S05,,48,0,1.25,2.5,1200,2,mixed
high-load-42,T17,17,8,P02-S01,P01-S02,,48,0,1.25,2.5,1337,2,mixed
high-load-43,T18,18,8,P03-S04,P08-S07,,48,0,1.25,2.5,1474,2,mixed
high-load-44,T19,19,8,P04-S07,P02-S04,,48,0,1.25,2.5,631,2,mixed
high-load-45,T20,20,8,P05-S02,P04-S01,,48,0,1.25,2.5,768,2,mixed
high-load-46,T21,21,8,P06-S05,P03-S06,,48,0,1.25,2.5,905,2,mixed
high-load-47,T22,22,8,P07-S08,P05-S03,,48,0,1.25,2.5,1042,2,mixed
high-load-48,T23,23,8,P08-S03,P07-S08,,48,0,1.25,2.5,1179,2,mixed
