task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
hotspot-01,T00,0,10,P01-S02,P05-S04,,28,0,0.75,1.5,420,3,routing
hotspot-02,T01,1,10,P02-S05,P05-S05,,28,0,0.75,1.5,509,3,routing
hotspot-03,T02,2,10,P03-S08,P05-S06,,28,0,0.75,1.5,598,3,routing
hotspot-04,T03,3,10,P04-S03,P05-S04,,28,0,0.75,1.5,687,3,routing
hotspot-05,T04,4,10,P05-S06,P05-S05,,28,0,0.75,1.5,776,3,routing
hotspot-06,T05,5,10,P06-S01,P05-S06,,28,0,0.75,1.5,865,3,routing
hotspot-07,T00,0,10,P07-S04,P05-S04,,28,0,0.75,1.5,954,3,routing
hotspot-08,T01,1,10,P08-S07,P05-S05,,28,0,0.75,1.5,483,3,routing
hotspot-09,T02,2,10,P01-S02,P05-S06,,28,0,0.75,1.5,572,3,routing
hotspot-10,T03,3,10,P02-S05,P05-S04,,28,0,0.75,1.5,661,3,routing
hotspot-11,T04,4,10,P03-S08,P05-S05,,28,0,0.75,1.5,750,3,routing
hotspot-12,T05,5,10,P04-S03,P05-S06,,28,0,0.75,1.5,839,3,routing
hotspot-13,T00,0,10,P05-S06,P05-S04,,28,0,0.75,1.5,928,3,routing
hotspot-14,T01,1,10,P06-S01,P05-S05,,28,0,0.75,1.5,457,3,routing
hotspot-15,T02,2,10,P07-S04,P05-S06,,28,0,0.75,1.5,546,3,routing
hotspot-16,T03,3,10,P08-S07,P05-S04,,28,0,0.75,1.5,635,3,routing
hotspot-17,T04,4,10,P01-S02,P05-S05,,28,0,0.75,1.5,724,3,routing
hotspot-18,T05,5,10,P02-S05,P05-S06,,28,0,0.75,1.5,813,3,routing
hotspot-19,T00,0,10,P03-S08,P05-S04,,28,0,0.75,1.5,902,3,routing
hotspot-20,T01,1,10,P04-S03,P05-S05,,28,0,0.75,1.5,431,3,routing
hotspot-21,T02,2,10,P05-S06,P05-S07,,28,0,0.75,1.5,520,3,routing
hotspot-22,T03,3,10,P06-S01,P05-S04,,28,0,0.75,1.5,609,3,routing
hotspot-23,T04,4,10,P07-S04,P05-S05,,28,0,0.75,1.5,698,3,routing
hotspot-24,T05,5,10,P08-S07,P05-S06,,28,0,0.75,1.5,787,3,routing
hotspot-25,T00,0,10,P01-S02,P05-S04,,28,0,0.75,1.5,876,3,routing
hotspot-26,T01,1,10,P02-S05,P05-S05,,28,0,0.75,1.5,965,3,routing
hotspot-27,T02,2,10,P03-S08,P05-S06,,28,0,0.75,1.5,494,3,routing
hotspot-28,T03,3,10,P04-S03,P05-S04,,28,0,0.75,1.5,583,3,routing
hotspot-29,T04,4,10,P05-S06,P05-S05,,28,0,0.75,1.5,672,3,routing
hotspot-30,T05,5,10,P06-S01,P05-S06,,28,0,0.75,1.5,761,3,routing
hotspot-31,T00,0,10,P07-S04,P05-S04,,28,0,0.75,1.5,850,3,routing
hotspot-32,T01,1,10,P08-S07,P05-S05,,28,0,0.75,1.5,939,3,routing
hotspot-33,T02,2,10,P01-S02,P05-S06,,28,0,0.75,1.5,468,3,routing
hotspot-34,T03,3,10,P02-S05,P05-S04,,28,0,0.75,1.5,557,3,routing
hotspot-35,T04,4,10,P03-S08,P05-S05,,28,0,0.75,1.5,646,3,routing
hotspot-36,T05,5,10,P04-S03,P05-S06,,28,0,0.75,1.5,735,3,routing
