task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
long-duration-01,T00,0,48,P01-S01,P06-S05,,18,0,0.6,1.2,160,2,telemetry
long-duration-02,T01,1,47,P02-S03,P07-S08,,18,0,0.6,1.2,219,2,telemetry
long-duration-03,T02,2,46,P03-S05,P08-S03,,18,0,0.6,1.2,278,2,telemetry
long-duration-04,T00,0,48,P04-S07,P01-S06,,18,0,0.6,1.2,337,2,telemetry
long-duration-05,T01,1,47,P05-S01,P02-S01,,18,0,0.6,1.2,396,2,telemetry
long-duration-06,T02,2,46,P06-S03,P03-S04,,18,0,0.6,1.2,455,2,telemetry
long-duration-07,T00,0,48,P07-S05,P04-S07,,18,0,0.6,1.2,194,2,telemetry
long-duration-08,T01,1,47,P08-S07,P05-S02,,18,0,0.6,1.2,253,2,telemetry
long-duration-09,T02,2,46,P01-S02,P06-S05,,18,0,0.6,1.2,312,2,telemetry
long-duration-10,T00,0,48,P02-S04,P07-S08,,18,0,0.6,1.2,371,2,telemetry
long-duration-11,T01,1,47,P03-S06,P08-S03,,18,0,0.6,1.2,430,2,telemetry
long-duration-12,T02,2,46,P04-S08,P01-S06,,18,0,0.6,1.2,169,2,telemetry
long-duration-13,T00,0,48,P05-S02,P02-S01,,18,0,0.6,1.2,228,2,telemetry
long-duration-14,T01,1,47,P06-S04,P03-S04,,18,0,0.6,1.2,287,2,telemetry
long-duration-15,T02,2,46,P07-S06,P04-S07,,18,0,0.6,1.2,346,2,telemetry
long-duration-16,T00,0,48,P08-S08,P05-S02,,18,0,0.6,1.2,405,2,telemetry
long-duration-17,T01,1,47,P01-S03,P06-S05,,18,0,0.6,1.2,464,2,telemetry
long-duration-18,T02,2,46,P02-S05,P07-S08,,18,0,0.6,1.2,203,2,telemetry
long-duration-19,T00,0,48,P03-S07,P08-S03,,18,0,0.6,1.2,262,2,telemetry
long-duration-20,T01,1,47,P04-S01,P01-S06,,18,0,0.6,1.2,321,2,telemetry
long-duration-21,T02,2,46,P05-S03,P02-S01,,18,0,0.6,1.2,380,2,telemetry
long-duration-22,T00,0,48,P06-S05,P03-S04,,18,0,0.6,1.2,439,2,telemetry
long-duration-23,T01,1,47,P07-S07,P04-S07,,18,0,0.6,1.2,178,2,telemetry
long-duration-24,T02,2,46,P08-S01,P05-S02,,18,0,0.6,1.2,237,2,telemetry
