task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
normal-01,T00,0,24,P01-S01,P06-S05,,24,0,0.5,1,130,1,mixed
normal-02,T01,1,24,P02-S04,P08-S01,,24,0,0.5,1,177,1,mixed
normal-03,T02,2,24,P03-S07,P02-S03,,24,0,0.5,1,224,1,mixed
normal-04,T03,3,24,P04-S02,P01-S07,,24,0,0.5,1,271,1,mixed
normal-05,T04,4,24,P05-S05,P03-S01,,24,0,0.5,1,318,1,mixed
normal-06,T05,5,24,P06-S08,P05-S05,,24,0,0.5,1,365,1,mixed
normal-07,T06,6,24,P07-S03,P04-S07,,24,0,0.5,1,412,1,mixed
normal-08,T07,7,24,P08-S06,P06-S03,,24,0,0.5,1,459,1,mixed
normal-09,T00,0,24,P01-S02,P08-S06,,24,0,0.5,1,506,1,mixed
normal-10,T01,1,24,P02-S05,P07-S02,,24,0,0.5,1,553,1,mixed
normal-11,T02,2,24,P03-S08,P01-S04,,24,0,0.5,1,169,1,mixed
normal-12,T03,3,24,P04-S03,P03-S08,,24,0,0.5,1,216,1,mixed
normal-13,T04,4,24,P05-S06,P02-S02,,24,0,0.5,1,263,1,mixed
normal-14,T05,5,24,P06-S01,P04-S06,,24,0,0.5,1,310,1,mixed
normal-15,T06,6,24,P07-S04,P06-S08,,24,0,0.5,1,357,1,mixed
normal-16,T07,7,24,P08-S07,P05-S04,,24,0,0.5,1,404,1,mixed
normal-17,T00,0,24,P01-S03,P07-S07,,24,0,0.5,1,451,1,mixed
normal-18,T01,1,24,P02-S06,P01-S03,,24,0,0.5,1,498,1,mixed
normal-19,T02,2,24,P03-S01,P08-S05,,24,0,0.5,1,545,1,mixed
normal-20,T03,3,24,P04-S04,P02-S01,,24,0,0.5,1,161,1,mixed
normal-21,T04,4,24,P05-S07,P04-S03,,24,0,0.5,1,208,1,mixed
normal-22,T05,5,24,P06-S02,P03-S07,,24,0,0.5,1,255,1,mixed
normal-23,T06,6,24,P07-S05,P05-S01,,24,0,0.5,1,302,1,mixed
normal-24,T07,7,24,P08-S08,P07-S05,,24,0,0.5,1,349,1,mixed
